element_id,part_num,color_id,design_id
6545257,14769pr1117,15,113421
639227,6392,8,
4227394,48933,85,
4142481,22549,14,
4259547,48933,71,
75380,6159,4,
6031422,3626cpr0666,78,
4161074,upn0218pr0002,15,
6596842,7421pr0001,25,116645
4144526,2543,0,2543
6503004,3069bpr9912,15,109661
6145661,47407,0,47407
4170310,43269,0,43269
4141312,32165,82,22951
4157899,4066pr0012,1,41478
6614512,44567b,4,49716
4613981,3004,25,93792
6064366,970c32,73,88584
4583282,970c25,378,88584
4220583,30106,143,
384426,3844,0,3844
6020160,970c03pr0422,0,12627
6514069,84954,40,35193
4283701,41897,0,41897
4210585,30258,0,30258
6023599,84638c01pr1442,0,84638
190265,190265,9999,
6078446,18034,1103,18034
6514103,58181,47,35283
4125481,22578c01,2,
197345,197345,9999,
639327,6393,8,
6442175,51274,323,51274
6546802,10113599,9999,113599
4154260,40647pr0002,4,40983
4183724,belfig0003c04pr0036,92,76068
4155239,30598pr0008,21,
4142929,30562pr0004,15,
6551565,10114118,9999,114118
614376,3941,0,
4160902,973c28h01pr0039,1,73403
4597469,973c03h02pr1685,0,76382
6143430,60608,0,
6660804,61287,47,39696
6019244,48933,297,
4200564,46583pat0001,11,
407909,4079,13,
6008029,95674,0,95674
4112108,31171,0,31171
4173280,4232,36,
245626,2456,0,2456
164557,164557,9999,
6486505,3839b,272,3839
4180338,43068,4,
6179181,6192b,0,6192
6051420,58629pr0002,14,
4118626,31202c06pr0001,2,76139
4112080,2513pr0004,15,83257
4535892,47517pr0004,0,47517
4142955,30408,0,
4108006,2259c01pr0001,14,74580
4106431,71258pat0001,74,
4109767,80039,15,
4121862,22198,115,
6602660,10117256,9999,
4193991,45409pr0002,2,
6550557,5904,0,5904
4141326,22909c02,25,
4161073,upn0218pr0001,15,
6493322,973c27h01pr0029,15,76382
4194491,30363pr0007,15,
4560456,85863pr0009,14,
6558350,52629,0,52629
6498741,973c37h01pr9997,15,
6483475,35701,484,35701
4141857,31238,0,
6546795,2477,14,2477
4118836,71294,15,6818
6162276,3068bpr9942,15,
4106838,33063,15,
4114535,33063,15,
4265049,3011pr0035,4,
6070094,3626cpr1338,179,
4161178,4493c01pr0005,15,
4140531,32349,41,
4174945,2446pr0037,2,
4175224,30603pr0011,73,
197895,197895,9999,
4142468,22537,4,22531
6488123,3010pr9918,4,108767
4286200,2456,70,
4289141,45896pr0007,15,
4160397,42022,36,
4171782,2218c05pr0001,15,
6527195,12895,272,12895
4540656,2545pr0001,0,84625
6263251,92456c01pr0319,78,
6320054,3830,1,
6464406,15327,71,
6146705,10908pr0012,0,
6177344,970c31,2,88584
6006026,970c28,1,
4657869,74664,0,74664
343726,3437,0,3437
4583329,40666,4,89464
6188057,41879a,379,90380
4508144,60115,0,60115
4222980,48933,8,
4100530,4175,0,4175
6197369,973c03h01pr3966,0,76382
4260945,2340,0,2340
4195285,4195285,9999,
190267,190267,9999,
4585301,4162pr9992,0,
4587898,973c03h03pr1658,0,88585
194395,194395,9999,
4279737,5334c01pr0002,288,51762
6139219,11439pat0003,41,
6336922,51274,4,51274
6326951,970c28pat01pr9999,1,73212
4193989,30633pr0001,40,
6609645,50303,15,50303
4650517,973c03h03pr0908,0,
6132595,973c03h12pr3205,0,76382
4153462,40690,14,
4162163,40395,0,40395
4546421,61930,0,61930
4503118,54200,2,
4173492,4232rc,34,
4595983,47517pr0004,0,47517
6259619,89879pr0002,71,89879
4520744,6309pr0068,15,48507
234626,2346,0,2346
4173494,4232rc,33,
4262131,51547pr0006,71,
4168523,43068,4,
6548812,36036pr9977,0,
4506636,41751,0,41751
6092878,88704,0,88704
4633179,59231,1103,
4526756,62711,0,62711
4121863,22199pr0001,14,
6231888,21562,72,
4218891,3046a,7,3046
4613397,92338,0,92338
4609050,92738,0,92738
4587904,87995,0,87995
6000839,98343,1103,98343
4596660,973c03h12pr1670,0,76382
6099785,30408,0,
6483420,13808,297,13808
6097768,30408,1103,
6494351,26603pr9993,2,
6316626,10068844,9999,
4194447,3298pr0043,15,
4193718,86601,1,75573
4161186,4493c01pr0004,6,
4560457,85863pr0010,4,
4540126,57520pr0001,135,
318601,3186,15,
4261253,47757pr0002,71,
4289139,13457,15,
4140083,32349,19,
4172874,42022,27,
4144373,31238,14,
4121845,6859c01,15,75804
4195788,42604pr0003,15,
4173283,4232rc,52,
4142475,22538,15,22538
4206508,3069bpr0067,19,
4175223,2446pr0038,1,
4166478,2284pr0001,2,
6534838,973c10h10pr0005,320,
6013671,2431,182,
6558995,7217,71,7217
6004964,3626bpr0220,14,
4658999,98456,4,
4291759,54821,135,
6393410,970c42pr2341,379,1805
6299886,854012,9999,
246576,2465,0,
6488257,87079pr9886,272,108816
4541678,2544,0,2544
6294578,15712,191,15712
6598044,7334,15,7334
6611552,3298,3,3298
6132951,23924,0,23924
4617080,2654,4,93791
4614801,44771,0,44771
6508052,2657,25,2657
6005299,10555,0,10555
4613966,3004,14,93792
4613604,973c03h03pr1727,0,76382
6657229,3626cpr3910,3,101448
4610036,973c03h12pr1713,0,88585
4570435,970c26,19,88584
4582625,970c11,28,88584
4618118,973c01h01pr1759,0,88585
6325297,41530,179,60591
6428486,3846pr0047,71,102323
4120032,32171pr0036,0,83625
6580413,64453,47,39889
4655228,973c03h03pr1954,0,76382
75541,75541,8,75541
194396,194396,9999,
4191113,44569,0,
4175689,2162c01,8,
6273588,4079b,272,4079
6022507,3626cpr1131,0,12866
6037558,14226c11,0,14226
4492779,40378,0,40378
6430218,51274,14,51274
4198536,40251,0,40251
4144456,40518,0,
6023799,970c03pr0439,0,13104
6006005,973c03h03pr1904,0,76382
256021,2560,4,
4143624,4248,4,
4186765,3626bpr9993,0,
4508642,40238,0,40238
6010864,99773,0,99773
4160880,84638c06pr0003,14,74331
